Unit Type,Sub Unit,RS,Name,Model,SZ,MV,Arm,Thr,Str,S,M,L,E,OV,Point,Abilites
Combat Vehicle,Tracked,,Ajax Assault Tank,A,4,3t,10,0,5,0,0,0,0,0,20,"TUR(7/7/0),CASE,ECM,OMNI,C3S,MHQ1,SRCH"
Combat Vehicle,Tracked,,Ajax Assault Tank,B,4,3t,10,0,5,0,0,0,0,0,17,"TUR(3/5/5,IF4),CASE,OMNI,TAG,C3M,MHQ5,SRCH"
Combat Vehicle,Tracked,,Ajax Assault Tank,Prime,4,3t,10,0,5,0,0,0,0,0,18,"TUR(5/6/3),CASE,OMNI,C3S,MHQ1,SRCH"
BattleMech,BattleMech,,Akuma,AKU-1X,4,3,9,0,7,5,5,2,0,2,20,"FLK1/1/1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Akuma,AKU-1XJ,4,3j,9,0,7,4,4,1,0,2,22,"FLK1/1/0,SRCH,SOA,SEAL,ES"
Combat Vehicle,Tracked,RS3058Uu,Alacorn Heavy Tank,Mk III,4,3t,10,0,5,0,0,0,0,0,14,"TUR(AC3/3/0),SRCH"
Combat Vehicle,Tracked,RS3058Uu,Alacorn Heavy Tank,Mk IV,4,3t,7,0,5,0,0,0,0,0,14,"TUR(AC6/6/0),SRCH"
Combat Vehicle,Tracked,RS3058Uu,Alacorn Heavy Tank,Mk VI,4,3t,7,0,5,0,0,0,0,0,19,"TUR(4/5/5),SRCH"
Combat Vehicle,Tracked,RS3058Uu,Alacorn Heavy Tank,Mk VII,4,3t,10,0,4,4,4,2,0,0,22,SRCH
BattleMech,BattleMech,RS3055Uu,Albatross,ALB-3U,4,4,7,0,4,4,4,2,0,2,17,"FLK1/1/1,IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Albatross,ALB-4U,4,4,10,0,4,5,5,2,0,1,19,"IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,JTPAtreus,Albatross,ALB-5W (Dantalion),4,4,10,0,5,3,3,1,0,2,23,"ENE,ECM,TSM,AMS,SRCH,SOA,SEAL,ES"
Aerospace,Aerospace Fighter,,Ammon,(Standard),3,6a,7,1,3,6,6,3,3,0,22,"VSTOL,SPC,BOMB3,PNT1"
Combat Vehicle,VTOL,RS3060u,Anhur Transport,(BA),1,8v,2,0,2,1,1,0,0,0,6,"CASE,ECM,IT10,SRCH,ATMO"
Combat Vehicle,VTOL,RS3060u,Anhur Transport,(Standard),1,8v,2,0,2,2,2,0,0,0,7,"ENE,IT7,SRCH,ATMO"
BattleMech,BattleMech,,Annihilator,ANH-1A,4,2,7,0,8,2,2,0,0,1,14,"AC3/3/0,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Annihilator,ANH-1G,4,2,10,,8,2,2,2,,4,23,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Annihilator,ANH-1X,4,2,10,,8,6,5,3,,0,19,"FLK3/3/3,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Annihilator,ANH-2A,4,2,7,0,8,4,4,2,0,2,16,"FLK2/2/2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,XTRMercs,Annihilator,ANH-2AX,4,2,10,,10,4,5,5,,0,--,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Annihilator,ANH-3A,4,2,10,0,8,3,3,0,0,0,17,"AC2/2/2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Annihilator,ANH-4A,4,2,8,0,8,4,5,5,0,0,17,"FLK1/1/1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Annihilator,C,4,3,9,,8,6,6,4,0,3,25,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Annihilator,"C "Gausszilla"",4,2,7,,8,7,8,8,,0,25,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Annihilator,C 2,4,2,9,,8,7,8,7,,0,27,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Anubis,ABS-3L,1,8,3,0,1,1,2,1,0,0,10,"IF1,ECM,STL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Anubis,ABS-3R,1,8,4,0,1,1,2,1,0,0,10,"IF1,ECM,STL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Anubis,ABS-3T,1,8,3,0,1,2,2,1,0,1,12,"ENE,ECM,STL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Anvil,ANV-3M,3,5/2j,5,0,5,3,3,0,0,0,14,"ENE,ECM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Anvil,ANV-3R,3,5,7,0,5,3,3,0,0,0,15,"ENE,ECM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Anvil,ANV-5M,3,5j,5,0,5,3,3,2,0,1,17,"ENE,ECM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Anvil,ANV-5Q,3,5/2j,5,0,5,3,3,0,0,0,13,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Anvil,ANV-6M,3,5/2j,5,0,5,3,3,0,0,0,14,"ENE,ECM,TAG,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Anvil,ANV-8M,3,5,5,0,5,2,2,1,0,0,17,"CASE,ECM,ARTAIS1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Apollo,APL-1M,2,4,6,0,5,2,3,3,0,0,12,"IF2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Apollo,APL-1R,2,4,6,0,5,1,0,0,0,0,11,"LRM 1/2/2,IF2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Apollo,APL-2S,2,4,6,0,5,3,4,3,0,0,13,"IF2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Apollo,APL-3T,2,4,6,0,5,4,4,2,0,0,12,"IF2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Aquagladius,AQS-3,2,6,5,0,3,1,0,0,0,0,8,"MEL,MTAS,UMU5,BHJ,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Aquagladius,AQS-4,2,6,6,0,3,2,2,0,0,1,15,"ENE,UMU6,BHJ,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Arcas,2,3,5j,7,0,4,5,5,3,0,0,28,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Arcas,(Standard),3,5j,7,0,4,4,4,2,0,2,25,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,SBW&B,Archangel,C-ANG-O (Berith),4,3,10,0,10,4,4,2,0,1,21,"ENE,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3075u,Archangel,C-ANG-O Invictus,4,3j,10,0,10,3,3,2,0,0,22,"ENE,ECM,OMNI,MEL,C3I,MHQ2,SAW,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3075u,Archangel,C-ANG-OA Dominus,4,3,10,0,10,4,4,3,0,1,21,"ENE,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3075u,Archangel,C-ANG-OB Infernus,4,3,10,0,10,4,4,3,0,0,21,"ENE,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3075u,Archangel,C-ANG-OC Comminus,4,3,10,0,10,6,6,0,0,0,20,"CASE,ECM,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3075u,Archangel,C-ANG-OD Luminos,4,3j,10,0,10,4,4,2,0,1,21,"ENE,ECM,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3075u,Archangel,C-ANG-OE Eminus,4,3,10,0,10,4,4,3,0,1,21,"ENE,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,JSBD,Archangel,C-ANG-OS Caelestis,4,3,10,0,10,4,4,1,0,1,20,"IF1,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-2K,3,4,6,0,6,2,2,1,0,2,14,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-2R,3,4,7,0,6,1,1,0,0,0,15,"LRM 1/2/2,IF2,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSOK,Archer,ARC-2Rb,3,4,7,,6,3,4,3,,1,17,"IF2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-2S,3,4,7,0,6,2,2,1,0,2,14,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-2W,3,4,5,0,6,1,1,0,0,3,13,"LRM 1/1/1,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-4M,3,4,7,0,6,3,5,4,0,0,17,"IF3,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-5R,3,4,6,0,6,3,3,3,0,1,17,"IF2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-5S,3,4,7,0,3,3,3,0,0,0,14,"LRM 1/2/2,IF2,CASE,SNARC,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-5W,3,4,7,0,3,0,0,0,0,0,13,"SRM 1/1/0,LRM 1/2/2,IF2,CASE,SNARC,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-6S,3,4,7,0,4,4,5,4,0,0,17,"IF3,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-6W,3,4,7,0,6,3,3,0,0,0,14,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-7L,3,3j,7,0,6,1,1,0,0,0,19,"LRM 1/2/2,IF2,CASE,ECM,STL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-7S,3,4,7,0,4,3,5,4,0,0,17,"IF3,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-8M,3,4,7,0,6,3,4,3,0,1,18,"IF2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSPUu,Archer,ARC-9K,3,4,7,0,6,4,4,3,0,0,14,"IF1,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1,1,6,3,0,1,2,2,1,0,0,10,"SRM 1/1/0,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1A,1,6j,3,0,1,4,3,0,0,0,9,"ENE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1B,1,6,3,0,1,2,2,1,0,0,7,"FLK1/1/1,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1C,1,6,3,0,1,2,2,1,0,0,9,"ENE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1D,1,6,3,0,1,1,2,2,0,0,7,"IF2,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1E,1,6,3,0,1,2,3,2,0,0,11,"ENE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Fox,AF1F,1,6,3,0,1,3,3,1,0,0,9,"IF1,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Arctic Wolf,2,2,7,3,0,2,1,1,1,0,1,15,"SRM 3/3/0,CASE,SNARC,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3060u,Arctic Wolf,(Standard),2,7,3,0,2,0,0,0,0,2,13,"SRM 4/4/0,CASE,SNARC,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Wolf,A,2,6,4,0,2,1,1,0,0,0,16,"SRM 2/2/0,LRM 2/2/2,IF2,CASE,ECM,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Wolf,J,2,6/3j,4,0,2,4,4,1,0,2,18,"HT1,CASE,ECM,PRB,RCN,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3060u,Arctic Wolf,Prime,2,6j,4,0,2,5,5,0,0,0,16,"CASE,OMNI,SRCH,SOA,SEAL,ES"
Combat Vehicle,Tracked,RS3060u,Ares Medium Tank,(Plasma),2,5t,2,0,2,3,3,3,0,0,12,"IF2,TUR(1/1/1),HT1,CASE,SRCH"
Combat Vehicle,Tracked,RS3060u,Ares Medium Tank,(Standard),2,5t,2,0,2,2,2,2,0,0,12,"IF2,TUR(1/1/1),CASE,SRCH"
BattleMech,BattleMech,,Argus,AGS-2D,3,5,6,0,3,3,4,4,0,0,16,"IF2,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,,Argus,AGS-4D,3,5,6,0,3,4,4,1,0,0,16,"IF1,CASE,PRB,RCN,SRCH,SOA,SEAL,ES"
Combat Vehicle,Hover,RS3039,Armored Personnel Carrier,(Hover),1,10h,1,0,1,0,0,0,0,0,1,"TUR(1/0/0),IT1,SRCH,EE"
Combat Vehicle,Tracked,RS3039,Armored Personnel Carrier,(Tracked),1,6t,1,0,1,0,0,0,0,0,1,"TUR(1/0/0),IT1,SRCH,EE"
Combat Vehicle,Wheeled,RS3039,Armored Personnel Carrier,(Wheeled),1,6w,2,0,1,0,0,0,0,0,2,"TUR(1/0/0),IT1,SRCH,EE"
BattleMech,BattleMech,RS3039,Assassin,ASN-101,2,7/3j,2,0,3,2,1,1,0,0,8,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Assassin,ASN-21,2,7j,2,0,3,1,1,1,0,0,7,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Assassin,ASN-23,2,7j,2,0,3,1,2,1,0,0,7,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Assassin,ASN-30,2,7j,3,0,2,1,1,1,0,0,9,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RSUM,Assassin,ASN-30 (Alice),2,7j,4,0,2,2,2,0,0,1,15,"ENE,ECM,PRB,RCN,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Assassin,ASN-99,2,7j,4,0,2,1,2,1,0,0,9,"CASE,TAG,MEL,SRCH,SOA,SEAL,ES"
Combat Vehicle,Hover,RS3060u,Asshur Artillery Spotter,(Standard),1,9h,1,0,1,0,0,0,0,0,9,"TUR(3/3/0),CASE,TAG,SRCH"
Combat Vehicle,Hover,RS3060u,Asshur Fast Reconnaissance Vehicle,(PAC),1,9h,1,0,1,0,0,0,0,0,3,"TUR(1/1/0),CASE,SRCH"
Combat Vehicle,Hover,RS3060u,Asshur Fast Reconnaissance Vehicle,(Standard),1,9h,1,0,1,1,0,0,0,0,10,"TUR(3/3/0),CASE,SRCH"
Infantry,Battle Armor,RS 3075,Asterion,,1,3,1,,2,1,1,0,0,0,2,"MEC,CAR4,AM"
Infantry,Battle Armor,RS 3075,Asterion,(PPC),1,3,1,,2,1,1,0,0,0,2,"MEC,CAR4,AM"
Infantry,Battle Armor,RS 3075,Asura,,1,3j,1,,2,2,2,0,0,0,5,"MEC,CAR6,AM"
Infantry,Battle Armor,RS 3075,Asura,(Anti Infantry),1,3j,1,,2,2,0,0,0,0,3,"MEC,CAR6,AM,LMAS"
Infantry,Battle Armor,RS 3075,Asura,(SRM),1,3j,1,,2,2,1,0,0,0,4,"MEC,CAR6,AM"
Combat Vehicle,Tracked,RS3060u,Athena Combat Vehicle,(HAG),3,3t,7,0,4,5,4,4,0,0,24,"FLK4/4/4,TUR(3/3/0),CASE,ECM,SRCH"
Combat Vehicle,Tracked,RS3060u,Athena Combat Vehicle,(Standard),3,3t,4,0,4,4,4,4,0,0,19,"IF1,TUR(2/2/0),CASE,SRCH"
BattleMech,BattleMech,RS3050U-I,Atlas,AS7-C,4,3,10,0,4,3,4,4,0,1,22,"IF1,CASE,C3S,MHQ1,AMS,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Atlas,AS7-CM,4,3,10,0,4,3,3,3,0,0,20,"LRM 1/1/1,IF1,CASE,TAG,C3M,MHQ5,AMS,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Atlas,AS7-D,4,3,10,0,8,2,2,0,0,0,19,"LRM 1/1/1,AC2/2/0,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Atlas,AS7-K,4,3,10,0,4,3,3,3,0,2,22,"IF1,CASE,AMS,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Atlas,AS7-S,4,3,10,0,8,2,2,0,0,0,19,"LRM 1/1/1,AC2/2/0,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Atlas,AS7-S2,4,3,10,0,5,4,5,4,0,0,24,"IF1,CASE,ECM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,HTPGaltor,Atlas,AS7-WGS (Samsonov),4,3,10,0,8,2,2,2,0,0,19,"AC2/2/0,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,JTPNewAvalon,Atlas,AS8-D,4,3,10,0,8,5,5,2,0,1,24,"IF1,CASE,TSM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Atlas II,AS7-D-H,4,3,10,0,8,4,4,3,0,2,22,"FLK1/1/1,IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3075u,Atlas II,AS7-D-H2,4,3,10,0,8,4,4,3,0,1,23,"LRM 1/1/1,IF1,CASE,SRCH,SOA,SEAL,ES"
Aerospace,OmniFighter,RS3055Uu,Avar,A,1,10a,4,1,5,4,4,2,0,0,22,"VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,RS3055Uu,Avar,B,1,10a,4,1,5,3,3,2,0,1,21,"VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,RS3055Uu,Avar,C,1,10a,4,1,5,4,4,0,0,2,17,"SNARC,VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,RS3055Uu,Avar,D,1,10a,4,1,5,5,4,2,2,0,18,"VSTOL,SPC,BOMB2"
Aerospace,OmniFighter,RS3055Uu,Avar,Prime,1,10a,4,1,5,4,4,1,1,1,21,"VSTOL,SPC,BOMB2"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-O,3,4,6,0,3,4,5,3,0,0,14,"FLK1/1/1,IF2,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OA,3,4j,6,0,3,2,2,1,0,2,15,"SRM 1/1/0,AC1/1/0,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OB,3,4,6,0,3,3,5,4,0,0,15,"IF4,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OC,3,4,6,0,3,2,3,2,0,0,14,"LRM 1/1/1,IF1,CASE,OMNI,TAG,C3M,MHQ5,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OD,3,4,6,0,3,5,5,1,0,1,15,"CASE,OMNI,C3S,MHQ1,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OE,3,4,6,0,3,4,4,3,0,0,16,"CASE,ECM,OMNI,C3I,MHQ2,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OF,3,4j,6,0,3,4,4,1,0,0,17,"FLK1/1/0,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OG,3,4,6,0,3,4,4,3,0,0,18,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OH,3,4,6,0,3,4,4,3,0,1,16,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OI,3,4,6,0,3,4,5,3,0,0,16,"IF3,CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,OmniMech,RS3058Uu,Avatar,AV1-OR,3,4,6,0,3,4,4,2,0,3,18,"CASE,OMNI,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Awesome,AWS-10KM,4,3,8,0,8,4,4,3,0,0,20,"ENE,ECM,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Awesome,AWS-8Q,4,3,8,0,6,3,3,3,0,0,16,"ENE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Awesome,AWS-8R,4,3,8,0,6,2,1,0,0,0,15,"LRM 1/1/1,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Awesome,AWS-8T,4,3,8,0,6,2,2,0,0,0,16,"LRM 1/1/1,IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3039,Awesome,AWS-8V,4,3,8,0,6,3,3,2,0,0,15,"IF1,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Awesome,AWS-9M,4,4,8,0,4,4,4,3,0,1,18,"SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Awesome,AWS-9Q,4,3,8,0,6,4,4,4,0,0,19,"ENE,ECM,SRCH,SOA,SEAL,ES"
Combat Vehicle,Tracked,,Axel Heavy Tank,IIC,3,3t,6,0,4,1,0,0,0,0,--,"TUR(1/1/1,AC2/2/0,IF1),SRCH,EE"
Combat Vehicle,Tracked,RS3039,Axel Heavy Tank,Mk 1,3,3t,5,0,4,1,0,0,0,0,6,"TUR(1/1/1,AC2/2/0,IF1),SRCH,EE"
BattleMech,BattleMech,RS3050U-I,Axman,AXM-1N,3,4j,6,0,3,2,2,0,0,1,14,"AC2/2/0,CASE,MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Axman,AXM-2N,3,4j,6,0,3,2,2,0,0,1,15,"LRM 1/1/1,IF1,CASE,MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Axman,AXM-3S,3,4j,6,0,4,3,3,0,0,0,16,"FLK1/1/0,CASE,ECM,MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3050U-I,Axman,AXM-4D,3,4,6,0,3,2,2,0,0,0,12,"AC2/2/0,CASE,MEL,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Baboon (Howler),2,1,8,2,0,1,3,2,1,0,0,8,"CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Baboon (Howler),(Standard),1,9,2,0,2,1,1,1,0,0,6,"IF1,CASE,SRCH,SOA,SEAL,ES"
BattleMech,BattleMech,RS3055Uu,Baboon (Howler),"3 "Devil"",1,8,2,0,1,2,2,2,0,0,13,"ENE,SRCH,SOA,SEAL,ES"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,(Clan 2),1,6t,3,0,2,0,0,0,0,0,5,"TUR(3/2/0),CASE,IT5,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,(Clan),1,6t,3,0,2,0,0,0,0,0,6,"TUR(2/2/0),CASE,IT5,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,A,1,6t,3,0,2,1,1,0,0,0,4,"TUR(1/1/0),OMNI,IT4,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,B,1,6t,3,0,2,1,1,0,0,0,4,"TUR(1/1/0),OMNI,IT4,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,C,1,6t,3,0,2,0,0,0,0,0,5,"TUR(1/1/1,IF1),OMNI,IT4,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,D,1,6t,3,0,2,1,0,0,0,0,5,"TUR(2/2/0),ENE,OMNI,IT4,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,E,1,6t,3,0,2,1,0,0,0,0,4,"TUR(2/0/0),ENE,OMNI,IT4,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,F,1,6t,3,0,1,0,0,0,0,0,4,"TUR(1/1/0),ENE,SRCH"
Combat Vehicle,Tracked,RS3058Uu,Badger Tracked Transport,Prime,1,6t,3,0,2,1,1,0,0,0,5,"TUR(2/2/0),OMNI,IT4,SRCH"
