Faction	Unit Type	Name	BV2	Tonnage	Cost	Rules Level	Tech Base	Source	Date	Era	BV1 (base)	BV1 (C3)	BV1 (total)
Blood Spirit	Protomech	Cecerops	TBD	3	639270	Tournament	Clan/Level 2	CE	3067	Present	47	0	47
Blood Spirit	Protomech	Cecerops 2	TBD	3	646068	Tournament	Clan/Level 2	CE	3067	Present	70	0	70
Blood Spirit	Protomech	Centaur	TBD	5	727020	Tournament	Clan/Level 2	3060	3060	Present	140	0	140
Blood Spirit	Protomech	Centaur 2	TBD	5	704576	Tournament	Clan/Level 2	Upgrades	3062	Present	100	0	100
Blood Spirit	Protomech	Centaur 3	TBD	5	751669	Tournament	Clan/Level 2	3067	3067	Present	198	0	198
Blood Spirit	Protomech	Chrysaor	TBD	6	735958	Tournament	Clan/Level 2	CE	3067	Present	101	0	101
Blood Spirit	Protomech	Chrysaor 2	TBD	6	747618	Tournament	Clan/Level 2	CE	3067	Present	111	0	111
Blood Spirit	Protomech	Delphyne	TBD	9	879576	Tournament	Clan/Level 2	CE	3067	Present	310	0	310
Blood Spirit	Protomech	Delphyne 2	TBD	9	913311	Tournament	Clan/Level 2	CE	3067	Present	237	0	237
Blood Spirit	Protomech	Gorgon	TBD	8	871902	Tournament	Clan/Level 2	3060	3060	Present	213	0	213
Blood Spirit	Protomech	Gorgon 2	TBD	8	820980	Tournament	Clan/Level 2	Upgrades	3062	Present	251	0	251
Blood Spirit	Protomech	Gorgon 3	TBD	8	882810	Tournament	Clan/Level 2	3067	3067	Present	190	0	190
Blood Spirit	Protomech	Harpy	TBD	2	614559	Tournament	Clan/Level 2	3060	3060	Present	28	0	28
Blood Spirit	Protomech	Harpy 2	TBD	2	619684	Tournament	Clan/Level 2	Upgrades	3062	Present	27	0	27
Blood Spirit	Protomech	Hydra	TBD	6	757927	Tournament	Clan/Level 2	3060	3060	Present	139	0	139
Blood Spirit	Protomech	Hydra 3	TBD	6	791608	Tournament	Clan/Level 2	3067	3067	Present	202	0	202
Blood Spirit	Protomech	Minotaur	TBD	9	946556	Tournament	Clan/Level 2	3060	3060	Present	367	0	367
Blood Spirit	Protomech	Minotaur 3	TBD	9	963506	Tournament	Clan/Level 2	3067	3067	Present	396	0	396
Blood Spirit	Protomech	Roc	TBD	7	839388	Tournament	Clan/Level 2	3060	3060	Present	284	0	284
Blood Spirit	Protomech	Roc 2	TBD	7	858381	Tournament	Clan/Level 2	Upgrades	3062	Present	205	0	205
Blood Spirit	Protomech	Roc 3	TBD	7	775054	Tournament	Clan/Level 2	3067	3067	Present	211	0	211
Blood Spirit	Protomech	Satyr	TBD	4	662688	Tournament	Clan/Level 2	3060	3060	Present	98	0	98
Blood Spirit	Protomech	Satyr 2	TBD	4	701376	Tournament	Clan/Level 2	Upgrades	3062	Present	76	0	76
Blood Spirit	Vehicle	Ares Medium Tank	TBD	40	2078767	Tournament	Clan/Level 2	3060	2950*	2950	938	0	938
Blood Spirit	Vehicle	Ku Wheeled Assault Tank	TBD	50	1912188	Tournament	Clan/Level 2	3060	2950*	2950	831	0	831
Blood Spirit	Vehicle	Morrigu (Laser Variant)	TBD	80	3995100	Tournament	Clan/Level 2	3067	3067	Present	935	0	935
Blood Spirit	Vehicle	Morrigu Fire Support Vehicle	TBD	80	4918500	Tournament	Clan/Level 2	3067	3067	Present	1232	0	1232
Blood Spirit	Vehicle	Shamash Reconnaissance Vehicle	TBD	11	227530	Tournament	Clan/Level 2	3060	2950*	2950	408	0	408
Blood Spirit	Warship	Aegis (Clan)	TBD	750000	15021811000	Advanced	Clan/Level 2	RS:AT2	2950*	2950	167790	0	167790
Blood Spirit	Warship	Black Lion (Clan)	TBD	810000	15151573000	Advanced	Clan/Level 2	RS:AT2	2950*	2950	247597	0	247597
Blood Spirit	Warship	York	TBD	600000	9822624000	Advanced	Clan/Level 2	RS:AT2	2947	2950	61526	0	61526
Capellan Confederation	Aerospace Fighter	Cheetah F-10	TBD	25	1669463	Tournament	IS/Level 1	RS:AT2	2630	2750	484	0	484
Capellan Confederation	Aerospace Fighter	Cheetah F-11-RR	TBD	25	3077063	Tournament	IS/Level 2	RS:AT2	3054	3050	492	0	492
Capellan Confederation	Aerospace Fighter	Corsair CSR-V12	TBD	50	2293958	Tournament	IS/Level 1	RS:AT2	2779	3025	1006	0	1006
Capellan Confederation	Aerospace Fighter	Defiance DFC-O	TBD	55	7859923	Tournament	IS/Level 2	RS:AT2	3067	Present	1528	0	1528
Capellan Confederation	Aerospace Fighter	Defiance DFC-OA	TBD	55	7927658	Tournament	IS/Level 2	RS:AT2	3067	Present	1493	0	1493
Capellan Confederation	Aerospace Fighter	Defiance DFC-OB	TBD	55	8008939	Tournament	IS/Level 2	RS:AT2	3067	Present	1137	0	1137
Capellan Confederation	Aerospace Fighter	Defiance DFC-OC	TBD	55	7514877	Tournament	IS/Level 2	RS:AT2	3067	Present	1198	0	1198
Capellan Confederation	Aerospace Fighter	Hellcat HCT-213	TBD	60	2992080	Tournament	IS/Level 1	RS:AT2	2671	2750	1079	0	1079
Capellan Confederation	Aerospace Fighter	Riever F-700	TBD	100	19417000	Tournament	IS/Level 2	RS:AT2	3050	3050	1474	0	1474
Capellan Confederation	Aerospace Fighter	Riever F-700A	TBD	100	16530000	Tournament	IS/Level 2	RS:AT2	3050	3050	1768	0	1768
Capellan Confederation	Aerospace Fighter	Sparrowhawk SPR-H5	TBD	30	1740870	Tournament	IS/Level 1	RS:AT2	2520	2570	634	0	634
Capellan Confederation	Aerospace Fighter	Stingray F-92	TBD	60	3473080	Tournament	IS/Level 2	RS:AT2	3050	3050	1435	0	1435
Capellan Confederation	Aerospace Fighter	Thrush TR-7	TBD	25	1685156	Tournament	IS/Level 1	RS:AT2	2632	2750	529	0	529
Capellan Confederation	Aerospace Fighter	Transgressor AC TR-14	TBD	75	4038031	Tournament	IS/Level 1	RS:AT2	2906	3025	1185	0	1185
Capellan Confederation	Aerospace Fighter	Transgressor TR-13	TBD	75	4024281	Tournament	IS/Level 1	RS:AT2	2890	3025	1309	0	1309
Capellan Confederation	Aerospace Fighter	Transgressor TR-13A	TBD	75	4574281	Tournament	IS/Level 2	RS:AT2	3052	3050	1678	0	1678
Capellan Confederation	Aerospace Fighter	Transit TR-10	TBD	50	2442708	Tournament	IS/Level 1	RS:AT2	2932	3025	919	0	919
Capellan Confederation	Aerospace Fighter	Transit TR-11	TBD	50	2242708	Tournament	IS/Level 1	RS:AT2	2933	3025	774	0	774
Capellan Confederation	Aerospace Fighter	Troika CMT-3T	TBD	65	8898060	Tournament	IS/Level 2	RS:AT2	3065	Present	1630	0	1630
Capellan Confederation	BattleMech	Anubis ABS-3L	TBD	30	5153525	Tournament	IS/Level 2	Periphery	3063	Present	807	0	807
Capellan Confederation	BattleMech	Anubis ABS-3R	TBD	30	5270525	Tournament	IS/Level 2	Periphery	3063	Present	845	0	845
Capellan Confederation	BattleMech	Anubis ABS-3T	TBD	30	5440175	Tournament	IS/Level 2	3067	3063	Present	871	0	871
Capellan Confederation	BattleMech	Anvil ANV-3M	TBD	60	5856960	Tournament	IS/Level 2	3055/3058	3055	Present	1244	0	1244
Capellan Confederation	BattleMech	Apollo APL-1M	TBD	55	4866174	Tournament	IS/Level 2	3055/3058	3055	Present	1044	0	1044
Capellan Confederation	BattleMech	Archer ARC-7L	TBD	70	7604270	Tournament	IS/Level 2	3067	3067	Present	1612	0	1612
Capellan Confederation	BattleMech	Atlas AS7-K	TBD	100	22392000	Tournament	IS/Level 2	3050	3050	3050	1649	0	1649
Capellan Confederation	BattleMech	Blackjack BJ-1	TBD	45	3147225	Tournament	IS/Level 1	3025/3026	2771	2750	795	0	795
Capellan Confederation	BattleMech	Blackjack BJ-2	TBD	45	3441575	Tournament	IS/Level 2	3050	3050	3050	858	0	858
Capellan Confederation	BattleMech	Blackjack BJ-3	TBD	45	3592375	Tournament	IS/Level 2	BP 4th	3028	3025	1099	0	1099
Capellan Confederation	BattleMech	Caesar CES-3R	TBD	70	13424674	Tournament	IS/Level 2	3050	3050	3050	1420	0	1420
Capellan Confederation	BattleMech	Cataphract CTF-1X	TBD	70	5998054	Tournament	IS/Level 1	3050	3025	3025	1092	0	1092
Capellan Confederation	BattleMech	Cataphract CTF-2X	TBD	70	5877354	Tournament	IS/Level 1	BP 4th	3028	3025	1035	0	1035
Capellan Confederation	BattleMech	Cataphract CTF-3D	TBD	70	13588554	Tournament	IS/Level 2	3050	3050	3050	1266	0	1266
Capellan Confederation	BattleMech	Cataphract CTF-3L	TBD	70	15379504	Tournament	IS/Level 2	3050	3050	3050	1294	0	1294
Capellan Confederation	BattleMech	Cataphract CTF-4L	TBD	70	8030404	Tournament	IS/Level 2	Upgrades	3062	Present	1634	0	1634
Capellan Confederation	BattleMech	Catapult CPLT-A1	TBD	65	5658126	Tournament	IS/Level 1	3025/3026	2563*	2750	1184	0	1184
Capellan Confederation	BattleMech	Catapult CPLT-C1	TBD	65	5790126	Tournament	IS/Level 1	3025/3026	2561	2570	1165	0	1165
Capellan Confederation	BattleMech	Catapult CPLT-C3	TBD	65	5872626	Advanced	IS/Level 2	3050	3050	3050	1030	0	1030
Capellan Confederation	BattleMech	Catapult CPLT-C4	TBD	65	5893251	Tournament	IS/Level 1	3025/3026	2565*	2750	1104	0	1104
Capellan Confederation	BattleMech	Catapult CPLT-C5	TBD	65	6540876	Tournament	IS/Level 2	CCAF	3063	Present	1329	0	1329
Capellan Confederation	BattleMech	Catapult CPLT-H2	TBD	65	6034326	Tournament	IS/Level 2	Periphery	3064	Present	1437	0	1437
Capellan Confederation	BattleMech	Cerberus MR-5M	TBD	95	25490726	Tournament	IS/Level 2	3055/3058	3055	Present	1633	0	1633
Capellan Confederation	BattleMech	Cestus CTS-6Y	TBD	65	11327361	Tournament	IS/Level 2	3055/3058	2750*	2750	1495	0	1495
Capellan Confederation	BattleMech	Charger CGR-1A5	TBD	80	7756771	Tournament	IS/Level 1	BP 4th	3028	3025	1132	0	1132
Capellan Confederation	BattleMech	Charger CGR-1L	TBD	80	7662122	Tournament	IS/Level 1	3025/3026	2950*	3025	772	0	772
Capellan Confederation	BattleMech	Cicada CDA-3M	TBD	40	7742468	Tournament	IS/Level 2	3050	3050	3050	664	0	664
Capellan Confederation	BattleMech	Clint CLNT-2-3U	TBD	40	3951080	Tournament	IS/Level 2	3050	3050	3050	943	0	943
Capellan Confederation	BattleMech	Commando COM-2D	TBD	25	1891250	Tournament	IS/Level 1	3025/3026	2480*	2570	432	0	432
Capellan Confederation	BattleMech	Cossack C-SK1	TBD	20	2362440	Tournament	IS/Level 2	3060	3060	Present	374	0	374
Capellan Confederation	BattleMech	Cronus CNS-3M	TBD	55	4896656	Tournament	IS/Level 1	3067	3040	3050	1070	0	1070
Capellan Confederation	BattleMech	Crusader CRD-3L	TBD	65	5583711	Tournament	IS/Level 1	3025/3026	2950*	3025	1032	0	1032
Capellan Confederation	BattleMech	Crusader CRD-4D	TBD	65	5653011	Tournament	IS/Level 2	3050	3050	3050	1015	0	1015
Capellan Confederation	BattleMech	Crusader CRD-7L	TBD	65	6564360	Tournament	IS/Level 2	3067	3067	Present	1507	0	1507
Capellan Confederation	BattleMech	Dervish DV-7D	TBD	55	5645618	Tournament	IS/Level 2	3050	3050	3050	1328	0	1328
Capellan Confederation	BattleMech	Duan Gung D9-G9	TBD	25	3344584	Tournament	IS/Level 2	3060	3058	Present	729	0	729
Capellan Confederation	BattleMech	Eagle EGL-1M	TBD	25	2216980	Tournament	IS/Level 2	3060	3060	Present	718	0	718
Capellan Confederation	BattleMech	Eagle EGL-2M	TBD	25	2237918	Tournament	IS/Level 2	3060	3060	Present	745	0	745
Capellan Confederation	BattleMech	Emperor EMP-6A	TBD	90	18682700	Tournament	IS/Level 2	3055/3058	2612	2750	1636	0	1636
Capellan Confederation	BattleMech	Emperor EMP-6L	TBD	90	12872500	Tournament	IS/Level 2	RS3058U	3067*	Present	2116	0	2116
Capellan Confederation	BattleMech	Emperor EMP-7L	TBD	90	12274000	Tournament	IS/Level 2	RS3058U	3067*	Present	1730	0	1730
Capellan Confederation	BattleMech	Falcon Hawk FNHK-9K1A	TBD	35	4436551	Tournament	IS/Level 2	3055/3058	3058	Present	900	0	900
Capellan Confederation	BattleMech	Firestarter FS9-S	TBD	35	3241688	Tournament	IS/Level 2	3050	3050	3050	551	0	551
Capellan Confederation	BattleMech	Griffin GRF-5L	TBD	55	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Capellan Confederation	BattleMech	Hammer HMR-3M	TBD	30	2411240	Tournament	IS/Level 2	3055/3058	3055	Present	616	0	616
Capellan Confederation	BattleMech	Hatchetman HCT-5S	TBD	45	6135240	Tournament	IS/Level 2	3050	3050	3050	826	0	826
Capellan Confederation	BattleMech	Helios HEL-3D	TBD	60	5736000	Tournament	IS/Level 2	3060	3060	Present	1559	0	1559
Capellan Confederation	BattleMech	Helios HEL-4A	TBD	60	5604800	Tournament	IS/Level 2	3060	3060	Present	1426	0	1426
Capellan Confederation	BattleMech	Helios HEL-C	TBD	60	6008000	Tournament	IS/Level 2	3060	3060	Present	1544	175	1719
Capellan Confederation	BattleMech	Highlander HGN-733	TBD	90	8307180	Tournament	IS/Level 1	3025/3026	2950*	3025	1424	0	1424
Capellan Confederation	BattleMech	Huron Warrior HUR-WO-R4L	TBD	50	8279001	Tournament	IS/Level 2	3055/3058	3055	Present	1139	0	1139
Capellan Confederation	BattleMech	Huron Warrior HUR-WO-R4M	TBD	50	8264001	Tournament	IS/Level 2	3055/3058	3055	Present	1180	0	1180
Capellan Confederation	BattleMech	Huron Warrior HUR-WO-R4N	TBD	50	9455000	Tournament	IS/Level 2	3055U	3067	Present	1112	0	1112
Capellan Confederation	BattleMech	Huron Warrior HUR-WO-R4O	TBD	50	8396000	Tournament	IS/Level 2	3055U	3067	Present	1417	0	1417
Capellan Confederation	BattleMech	Hussar HSR-300-D	TBD	30	2563340	Tournament	IS/Level 1	3025/3026	2950*	3025	484	0	484
Capellan Confederation	BattleMech	Jackal JA-KL-1532	TBD	30	4567940	Tournament	IS/Level 2	3055/3058	3055	Present	678	0	678
Capellan Confederation	BattleMech	JagerMech JM6-S	TBD	65	5232426	Tournament	IS/Level 1	3025/3026	2770	2750	749	0	749
Capellan Confederation	BattleMech	Jenner JR7-D	TBD	35	3198376	Tournament	IS/Level 1	3025/3026	2784	3025	669	0	669
Capellan Confederation	BattleMech	Jenner JR7-F	TBD	35	3121426	Tournament	IS/Level 1	3025/3026	2784	3025	792	0	792
Capellan Confederation	BattleMech	Jinggau JN-G8A	TBD	65	14427327	Tournament	IS/Level 2	3060	3059	Present	1915	0	1915
Capellan Confederation	BattleMech	Lao Hu LHU-2B	TBD	75	18779688	Tournament	IS/Level 2	CCAF	3063	Present	1410	0	1410
Capellan Confederation	BattleMech	Lao Hu LHU-3B	TBD	75	21143938	Tournament	IS/Level 2	3067	3067	Present	1281	147	1428
Capellan Confederation	BattleMech	Lao Hu LHU-3C	TBD	75	18123438	Tournament	IS/Level 2	3067	3067	Present	1611	0	1611
Capellan Confederation	BattleMech	Locust LCT-1L	TBD	20	1848401	Tournament	IS/Level 2	3050	3050	3050	364	0	364
Capellan Confederation	BattleMech	Locust LCT-5V	TBD	20	1799200	Tournament	IS/Level 2	3067	3067	Present	593	0	593
Capellan Confederation	BattleMech	Longbow LGB-12C	TBD	85	17577312	Tournament	IS/Level 2	Upgrades	3061	Present	1342	0	1342
Capellan Confederation	BattleMech	Longbow LGB-7V	TBD	85	17176325	Tournament	IS/Level 2	3055/3058	3058	Present	1366	0	1366
Capellan Confederation	BattleMech	Marauder MAD-3L	TBD	75	6467125	Tournament	IS/Level 1	3025/3026	2950*	3025	1098	0	1098
Capellan Confederation	BattleMech	Marauder MAD-5L	TBD	75	10452750	Tournament	IS/Level 2	3067	3067	Present	1614	0	1614
Capellan Confederation	BattleMech	Marauder MAD-6L	TBD	75	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Capellan Confederation	BattleMech	Marshal MHL-2L	TBD	55	4940574	Tournament	IS/Level 2	CCAF	3063	Present	1169	0	1169
Capellan Confederation	BattleMech	Marshal MHL-X1	TBD	55	4545324	Tournament	IS/Level 2	3060	3059	Present	995	0	995
Capellan Confederation	BattleMech	Men Shen MS1-O	TBD	55	16570469	Tournament	IS/Level 2	3060	3060	Present	1199	0	1199
Capellan Confederation	BattleMech	Men Shen MS1-OA	TBD	55	16897907	Tournament	IS/Level 2	3060	3060	Present	1232	0	1232
Capellan Confederation	BattleMech	Men Shen MS1-OB	TBD	55	16719657	Tournament	IS/Level 2	3060	3060	Present	1128	0	1128
Capellan Confederation	BattleMech	Men Shen MS1-OC	TBD	55	16613579	Tournament	IS/Level 2	3060	3060	Present	1151	0	1151
Capellan Confederation	BattleMech	Men Shen MS1-OD	TBD	55	16624719	Tournament	IS/Level 2	3060	3060	Present	1157	0	1157
Capellan Confederation	BattleMech	Orion ON1-VA	TBD	75	6510000	Tournament	IS/Level 1	3025/3026	2950*	3025	1111	0	1111
Capellan Confederation	BattleMech	Ostroc OSR-4L	TBD	60	7069760	Tournament	IS/Level 2	3067	3067	Present	1431	0	1431
Capellan Confederation	BattleMech	Owens OW-1	TBD	35	7545377	Tournament	IS/Level 2	3055/3058	3056	Present	695	57	752
Capellan Confederation	BattleMech	Owens OW-1A	TBD	35	7385909	Tournament	IS/Level 2	3055/3058	3056	Present	551	32	583
Capellan Confederation	BattleMech	Owens OW-1B	TBD	35	7713284	Tournament	IS/Level 2	3055/3058	3056	Present	629	41	670
Capellan Confederation	BattleMech	Owens OW-1C	TBD	35	7591784	Tournament	IS/Level 2	3055/3058	3056	Present	729	79	808
Capellan Confederation	BattleMech	Owens OW-1D	TBD	35	7613721	Tournament	IS/Level 2	3055/3058	3056	Present	526	28	554
Capellan Confederation	BattleMech	Owens OW-1E	TBD	35	7887096	Tournament	IS/Level 2	3060	3060	Present	654	56	710
Capellan Confederation	BattleMech	Phoenix Hawk PXH-4L	TBD	45	5255815	Tournament	IS/Level 2	3067	3066	Present	1117	0	1117
Capellan Confederation	BattleMech	Phoenix Hawk PXH-5L	TBD	45	TBD	Tournament	IS/Level 3	RSPPU	3071	Present	NA	NA	NA
Capellan Confederation	BattleMech	Pillager PLG-3Z	TBD	100	22290000	Tournament	IS/Level 2	3055/3058	2590*	2750	2551	0	2551
Capellan Confederation	BattleMech	Pillager PLG-4Z	TBD	100	12162000	Tournament	IS/Level 2	Upgrades	3062	Present	2542	0	2542
Capellan Confederation	BattleMech	Pillager PLG-5L	TBD	100	23182000	Advanced	IS/Level 2	RS3058U	3067*	Present	1911	0	1911
Capellan Confederation	BattleMech	Pillager PLG-5Z	TBD	100	15162000	Tournament	IS/Level 2	RS3058U	3067*	Present	2240	0	2240
Capellan Confederation	BattleMech	Raven RVN-3L	TBD	35	5353425	Tournament	IS/Level 2	3050	3050	3050	592	0	592
Capellan Confederation	BattleMech	Raven RVN-4L	TBD	35	6054075	Tournament	IS/Level 2	CCAF	3063	Present	667	0	667
Capellan Confederation	BattleMech	Sha Yu SYU-2B	TBD	40	7859134	Tournament	IS/Level 2	CCAF	3063	Present	1035	0	1035
Capellan Confederation	BattleMech	Sha Yu SYU-4B	TBD	40	8080334	Tournament	IS/Level 2	3067	3067	Present	962	110	1072
Capellan Confederation	BattleMech	Shadow Hawk SHD-7M	TBD	55	10313906	Tournament	IS/Level 2	3067	3067	Present	1351	0	1351
Capellan Confederation	BattleMech	Sirocco SRC-3C	TBD	95	10159500	Tournament	IS/Level 2	3060	3059	Present	1808	0	1808
Capellan Confederation	BattleMech	Snake SNK-1V	TBD	45	7233470	Tournament	IS/Level 2	3055/3058	3055	Present	910	0	910
Capellan Confederation	BattleMech	Snake SNK-2B	TBD	45	7968620	Tournament	IS/Level 2	3055U	3067	Present	994	0	994
Capellan Confederation	BattleMech	Spider SDR-5V	TBD	30	2984540	Tournament	IS/Level 1	3025/3026	2650	2750	514	0	514
Capellan Confederation	BattleMech	Stinger STG-5R	TBD	20	1758240	Tournament	IS/Level 2	3067	3067	Present	461	0	461
Capellan Confederation	BattleMech	Stinger STG-6L	TBD	20	2116240	Tournament	IS/Level 2	3067	3067	Present	603	0	603
Capellan Confederation	BattleMech	Striker STC-2C	TBD	80	7709701	Tournament	IS/Level 1	3055/3058	3058	Present	1154	0	1154
Capellan Confederation	BattleMech	Striker STC-2D	TBD	80	8037301	Tournament	IS/Level 2	3055/3058	3058	Present	1329	0	1329
Capellan Confederation	BattleMech	Sunder SD1-O	TBD	90	27774438	Tournament	IS/Level 2	3055/3058	3058	Present	1381	0	1381
Capellan Confederation	BattleMech	Sunder SD1-OA	TBD	90	27911000	Tournament	IS/Level 2	3055/3058	3058	Present	1722	0	1722
Capellan Confederation	BattleMech	Sunder SD1-OB	TBD	90	34511125	Tournament	IS/Level 2	3055/3058	3058	Present	1362	161	1523
Capellan Confederation	BattleMech	Sunder SD1-OC	TBD	90	28382438	Tournament	IS/Level 2	DCMS	3058	Present	1493	195	1688
Capellan Confederation	BattleMech	Sunder SD1-OD	TBD	90	28604500	Tournament	IS/Level 2	3060	3060	Present	1782	0	1782
Capellan Confederation	BattleMech	Thug THG-11E	TBD	80	8414041	Tournament	IS/Level 2	3050	2572	2570	1450	0	1450
Capellan Confederation	BattleMech	Thunder THR-1L	TBD	70	15579538	Tournament	IS/Level 2	3055/3058	3055	Present	1227	0	1227
Capellan Confederation	BattleMech	Thunder THR-2L	TBD	70	19234961	Tournament	IS/Level 2	3055U	3067	Present	1453	0	1453
Capellan Confederation	BattleMech	Thunder THR-3L	TBD	70	18935336	Tournament	IS/Level 2	3055U	3067	Present	1300	0	1300
